newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
newick204201801843.nwk	gpt-4.1_topo_143350125212.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	8	5	ete3	True	False	False	False	22	18	2	False	False	False	
newick204201801843.nwk	gpt-5_topo_143400715029.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	8	5	ete3	True	False	False	False	22	18	2	False	False	False	
newick204201930118.nwk	gpt-4.1_finetuned_nwk_130210255725.nwk	5	5	16	16	0.875	14	2	2.0625	0.875	0.125	0.125	0.9922	0.9922	0.0	0.0	0	0	0	0	4.1589	3.62	3.0	21.0	0.8571	23	0.9565217391304348	1	22	0.9565	1	1	True	5	17	phylo	True	False	False	True	10	17	1	False	False	False	
newick204201930118.nwk	gpt-4.1_topo_143449988891.nwk	5	5	16	16	1.0	16	0	0.0	1.0	0.0	0.0	1.0	1.0	0.235	0.0	0	0	1.88	1.88	4.2008	3.695	6.0	24.0	0.75	27	0.8888888888888888	3	24	0.8889	1	1	True	5	17	phylo	True	False	False	True	10	17	1	False	False	False	
newick204201930118.nwk	gpt-5_topo_143508428248.nwk	5	5	16	15	0.9375	15	0	0.75	0.9375	0.75	0.8	1.0	0.9375	0.0	0.0	0	0	0	0	7.0236	7.9	9.0	23.0	0.6087	26	0.8076923076923077	5	21	0.8077	1	1	True	5	17	phylo	True	False	False	True	10	17	1	False	False	False	
newick204202580894.nwk	gpt-4.1_finetuned_nwk_130238331709.nwk	5	5	12	12	0.9167	11	1	0.75	0.9167	0.0833	0.0833	0.9907	0.9907	0.0	0.0	0	0	0	0	0.6909	1.0	4.0	16.0	0.75	18	0.8888888888888888	2	16	0.8889	0	0	False	10.0	12	phylo	True	False	False	False	10	17	1	False	False	False	
newick204202580894.nwk	gpt-4.1_topo_143805045234.nwk	5	5	12	12	0.9167	11	1	0.75	0.9167	0.0833	0.0833	0.9907	0.9907	0.0	0.0	0	0	0	0	0.6182	0.0	3.0	15.0	0.8	17	0.9411764705882353	1	16	0.9412	0	0	False	10.0	12	phylo	True	False	False	False	10	17	1	False	False	False	
newick204202580894.nwk	gpt-5_topo_143821388448.nwk	5	5	12	12	0.9167	11	1	1.6667	0.9167	0.0833	0.0833	0.9958	0.9958	0.0	0.0	0	0	0	0	0.5455	1.0	2.0	16.0	0.875	18	0.9444444444444444	1	17	0.9444	0	0	False	10.0	12	phylo	True	False	False	False	10	17	1	False	False	False	
newick204203068309.nwk	gpt-4.1_finetuned_nwk_130303779231.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	2.1107	0.41	2.0	10.0	0.8	12	0.9166666666666666	1	11	0.9167	0	0	True	4	8	ete3	True	False	False	False	74	15	6	False	False	False	
newick204203068309.nwk	gpt-4.1_topo_143945780585.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.64	0.0	1.0	9.0	0.8889	11	1.0	0	11	1.0	0	0	True	4	8	ete3	True	False	False	False	74	15	6	False	False	False	
newick204203068309.nwk	gpt-5_topo_143959609864.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.5014	0.0	2.0	10.0	0.8	12	0.9166666666666666	1	11	0.9167	0	0	True	4	8	ete3	True	False	False	False	74	15	6	False	False	False	
newick204203255285.nwk	gpt-4.1_finetuned_nwk_130329301347.nwk	5	5	17	17	1.0	17	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.6029	1.0	3.0	27.0	0.8889	30	0.9333333333333333	2	28	0.9333	1	1	False	10.0	17	ete3	True	False	False	True	58	18	1	False	False	False	
newick204203255285.nwk	gpt-4.1_topo_144257731845.nwk	5	5	17	17	1.0	17	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	2.4412	3.0	6.0	20.0	0.7	23	1.0	0	23	1.0	1	1	False	10.0	17	ete3	True	False	False	True	58	18	1	False	False	False	
newick204203255285.nwk	gpt-5_topo_144314639401.nwk	5	5	17	17	1.0	17	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.8235	1.0	5.0	27.0	0.8148	30	0.9	3	27	0.9	1	1	False	10.0	17	ete3	True	False	False	True	58	18	1	False	False	False	
newick204203437192.nwk	gpt-4.1_finetuned_nwk_130356312653.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.6637	1.63	10.0	22.0	0.5455	24	0.7916666666666666	5	19	0.7917	0	0	True	2	14	phylo	True	False	False	False	10	17	1	False	False	False	
newick204203437192.nwk	gpt-4.1_topo_144601158265.nwk	5	5	14	14	0.9286	13	1	1.5	0.9286	0.0714	0.0714	0.9966	0.9966	0.0	0.0	0	0	0	0	0.0	0.0	0.0	20.0	1.0	22	1.0	0	22	1.0	0	0	True	2	14	phylo	True	False	False	False	10	17	1	False	False	False	
newick204203437192.nwk	gpt-5_topo_144626745728.nwk	5	5	14	14	0.9286	13	1	1.4286	0.9286	0.0714	0.0714	0.9966	0.9966	0.0	0.0	0	0	0	0	0.0	0.0	0.0	20.0	1.0	22	1.0	0	22	1.0	0	0	True	2	14	phylo	True	False	False	False	10	17	1	False	False	False	
newick204203984550.nwk	gpt-4.1_finetuned_nwk_130422140068.nwk	5	5	9	9	1.0	9	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.5556	0.0	2.0	12.0	0.8333	14	0.9285714285714286	1	13	0.9286	0	0	False	10.0	9	phylo	True	False	False	True	10	20	1	False	False	False	
newick204203984550.nwk	gpt-4.1_topo_145037821197.nwk	5	5	9	9	1.0	9	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.3333	1.0	3.0	9.0	0.6667	11	1.0	0	11	1.0	0	0	False	10.0	9	phylo	True	False	False	True	10	20	1	False	False	False	
newick204203984550.nwk	gpt-5_topo_145050437818.nwk	5	5	9	9	1.0	9	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	12.0	1.0	14	1.0	0	14	1.0	0	0	False	10.0	9	phylo	True	False	False	True	10	20	1	False	False	False	
newick204204451804.nwk	gpt-4.1_finetuned_nwk_130446415644.nwk	5	5	23	23	0.9565	22	1	0.5652	0.9565	0.0435	0.0435	0.9969	0.9969	0.0	0.0	0	0	0	0	1.368	1.0	6.0	32.0	0.8125	36	0.9444444444444444	2	34	0.9444	2	2	False	10.0	23	ete3	True	False	False	True	71	17	5	False	False	True	
newick204204451804.nwk	gpt-4.1_topo_145338455871.nwk	5	5	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.7312	2.0	9.0	33.0	0.7273	37	0.918918918918919	3	34	0.9189	2	2	False	10.0	23	ete3	True	False	False	True	71	17	5	False	False	True	
newick204204451804.nwk	gpt-5_topo_145404741816.nwk	5	5	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.3439	1.0	12.0	38.0	0.6842	42	0.8333333333333334	7	35	0.8333	2	2	False	10.0	23	ete3	True	False	False	True	71	17	5	False	False	True	
newick204204882223.nwk	gpt-4.1_finetuned_nwk_130512642164.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.5357	0.0	2.0	10.0	0.8	12	0.9166666666666666	1	11	0.9167	0	0	False	10.0	8	phylo	True	False	False	False	10	20	1	False	False	False	
newick204204882223.nwk	gpt-4.1_topo_145725142065.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	10.0	1.0	12	1.0	0	12	1.0	0	0	False	10.0	8	phylo	True	False	False	False	10	20	1	False	False	False	
newick204204882223.nwk	gpt-5_topo_145737795995.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	10.0	1.0	12	1.0	0	12	1.0	0	0	False	10.0	8	phylo	True	False	False	False	10	20	1	False	False	False	
newick204205511090.nwk	gpt-4.1_finetuned_nwk_130536439648.nwk	5	5	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	True	9	4	phylo	True	False	False	False	10	16	1	False	False	False	
newick204205511090.nwk	gpt-4.1_topo_150020641792.nwk	5	5	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	True	9	4	phylo	True	False	False	False	10	16	1	False	False	False	
newick204205511090.nwk	gpt-5_topo_150034243662.nwk	5	5	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	True	9	4	phylo	True	False	False	False	10	16	1	False	False	False	
newick204205895955.nwk	gpt-4.1_finetuned_nwk_130600225908.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	4.7585	3.38	8.0	20.0	0.6	22	0.8636363636363636	3	19	0.8636	0	0	True	6	14	phylo	True	False	False	False	10	20	1	False	False	False	
newick204205895955.nwk	gpt-4.1_topo_150145121833.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	4.7064	1.55	5.0	19.0	0.7368	21	0.9523809523809523	1	20	0.9524	0	0	True	6	14	phylo	True	False	False	False	10	20	1	False	False	False	
