newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
original204118531916.nwk	finetuned204118531916.nwk	5	0	16	16	0.9375	15	1	1.3125	0.9375	0.125	0.125	0.994	0.994	0.5	0.5	0	0	0.5	0.5	2.0286	2.0	12.0	22.0	0.4545	26	0.7307692307692307	7	19	0.7308	1	1	False	10.0	16	phylo	False	False	False	True	10	19	2	False	False	False	
original204102654373.nwk	finetuned204102654373.nwk	5	0	6	4	0.5	3	1	11.3333	0.5	6.5	9.75	0.9917	0.6611	1.2933	0.91	0	0	1.2933	0.91	4.3267	5.58	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	4	6	phylo	False	False	False	True	10	18	10	False	False	False	
original204101894074.nwk	finetuned204101894074.nwk	5	0	22	22	1.0	22	0	0.0	1.0	0.0	0.0	1.0	1.0	2.8026	2.6294	-2.8026	-2.6294	0	0	33.9821	32.1255	23.0	37.0	0.3784	39	0.717948717948718	11	28	0.7179	0	0	True	4	22	ete3	False	False	False	False	53	10	1	False	False	False	
original204120207104.nwk	finetuned204120207104.nwk	5	0	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.5	0.5	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	False	10.0	4	phylo	False	False	False	True	10	17	3	False	False	False	
original204130973701.nwk	finetuned204130973701.nwk	5	0	11	11	1.0	11	0	0.0	1.0	0.0	0.0	1.0	1.0	0.67	0.67	-0.67	-0.67	0	0	2.7865	2.35	15.0	15.0	0.0	17	0.5882352941176471	7	10	0.5882	0	0	False	10.0	11	ete3	False	False	False	False	19	14	9	False	False	False	
original204126417850.nwk	finetuned204126417850.nwk	5	0	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	0.44	0.44	0	0	0.44	0.44	1.1733	1.32	NA	0.0	None	2	1.0	0	2	1.0	0	0	False	10.0	3	ete3	False	False	False	True	82	17	2	False	False	False	
original204111689891.nwk	finetuned204111689891.nwk	5	0	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.8493	1.34	6.0	10.0	0.4	12	0.75	3	9	0.75	0	0	False	10.0	8	ete3	False	False	False	False	41	14	6	False	False	False	
original204100453913.nwk	finetuned204100453913.nwk	5	0	11	11	0.8182	9	2	3.8182	0.8182	0.1818	0.1818	0.9916	0.9916	0.67	0.67	-0.67	-0.67	0	0	2.19	1.66	3.0	9.0	0.6667	11	1.0	0	11	1.0	0	0	False	10.0	11	ete3	False	False	False	False	17	10	9	False	False	True	
original204115728173.nwk	finetuned204115728173.nwk	5	0	15	15	0.9333	14	1	1.0	0.9333	0.1333	0.1333	0.9911	0.9911	1.7179	1.825	-0.84	-0.84	1.8642	1.88	9.7056	9.92	10.0	12.0	0.1667	14	1.0	0	14	1.0	0	0	True	3	15	ete3	False	False	False	False	22	17	6	False	False	True	
original204107779976.nwk	finetuned204107779976.nwk	5	0	12	12	0.8333	11	1	2.3333	0.9103	0.25	0.25	0.9876	0.9876	0.66	0.66	-0.66	-0.66	0	0	1.8564	1.64	3.0	13.0	0.7692	15	0.9333333333333333	1	14	0.9333	0	0	False	10.0	12	ete3	False	False	False	False	84	9	6	False	False	False	
original204117965952.nwk	finetuned204117965952.nwk	5	0	10	9	0.9	9	0	1.5	0.9	1.5	1.6667	1.0	0.9	3.5756	2.99	0	0	3.5756	2.99	23.4333	22.805	5.0	11.0	0.5455	13	0.8461538461538461	2	11	0.8462	0	0	True	8	10	phylo	False	False	False	False	10	16	5	False	False	False	
original204115222178.nwk	finetuned204115222178.nwk	5	0	15	15	1.0	15	0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0	0	1.0	1.0	6.2667	6.0	11.0	17.0	0.3529	19	0.8947368421052632	2	17	0.8947	0	0	False	10.0	15	phylo	False	False	False	False	10	18	9	False	False	False	
original204056610969.nwk	finetuned204056610969.nwk	5	0	22	21	0.9545	21	0	0.3182	0.9545	0.3182	0.3333	1.0	0.9545	4.2514	4.03	-4.99	-4.99	4.2145	3.84	36.0921	37.735	25.0	31.0	0.1935	34	0.6764705882352942	11	23	0.6765	1	1	True	10	22	ete3	False	False	False	True	53	9	10	False	False	False	
original204103075211.nwk	finetuned204103075211.nwk	5	0	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	1.3432	1.1561	-1.2736	-0.5861	1.3939	1.6639	7.9788	6.585	22.0	30.0	0.2667	32	0.6875	10	22	0.6875	0	0	True	5	19	ete3	False	False	False	False	62	16	7	False	False	True	
